visible,weeks_list,week,student_rollnum,student_name,student_email,image
YES,Week 1,Week 1,noone,No one,noone@itu.edu.pk,noone.jpg
NO,Week 2,,,,@itu.edu.pk,.jpg
NO,Week 3,,,,@itu.edu.pk,.jpg
NO,Week 4,,,,@itu.edu.pk,.jpg
NO,Week 5,,,,@itu.edu.pk,.jpg
NO,Week 6,,,,@itu.edu.pk,.jpg
NO,Week 7,,,,@itu.edu.pk,.jpg
NO,Week 8,,,,@itu.edu.pk,.jpg
NO,Week 9,,,,@itu.edu.pk,.jpg
NO,Week 10,,,,@itu.edu.pk,.jpg
NO,Week 11,,,,@itu.edu.pk,.jpg
NO,Week 12,,,,@itu.edu.pk,.jpg
NO,Week 13,,,,@itu.edu.pk,.jpg
NO,Week 14,,,,@itu.edu.pk,.jpg
NO,Week 15,,,,@itu.edu.pk,.jpg
NO,,,,,,
